"ID","PROLIFIC_PID","dummy_informedconsent","commCheck","mic_test_passed","feedback_critic","age","gender","education","employment_status","employment_is_employed","lrscale","rlgdgr","aris_scale-ais1","aris_scale-ais2","aris_scale-ais3","aris_scale-ais4","aris_scale-ris1","aris_scale-ris2","aris_scale-ris3","aris_scale-ris4","utopianism_scale-utop1","utopianism_scale-utop2","utopianism_scale-utop3","utopianism_scale-utop4","anti_utopianism_scale-antiutop1","anti_utopianism_scale-antiutop2","anti_utopianism_scale-antiutop3","anti_utopianism_scale-antiutop4","nfc_scale-nfc1","nfc_scale-nfc2","nfc_scale-nfc3","nfc_scale-nfc4","nfc_scale-nfc5","nfc_scale-nfc6","nfc_scale-nfc7","sjs_scale-sjs1","sjs_scale-sjs2","sjs_scale-sjs3r","sjs_scale-sjs4","sjs_scale-sjs5","sjs_scale-sjs6","sjs_scale-sjs7r","sjs_scale-sjs8","swls_scale-swls1","swls_scale-swls2","swls_scale-swls3","swls_scale-swls4","swls_scale-swls5","brs_scale-brs1","brs_scale-brs2r","brs_scale-brs3","brs_scale-brs4r","brs_scale-brs5","brs_scale-brs6r","prds_scale-prds1","prds_scale-prds2r","prds_scale-prds3","prds_scale-prds4r","prds_scale-prds5","cmq_scale-cmq1","cmq_scale-cmq2","cmq_scale-cmq3","cmq_scale-cmq4","cmq_scale-cmq5","flagPotentialIncon","rank_religious","rank_ai_centered","rank_primitivist","rank_institutional","rank_moral_anarchic","rank_futurist","rank_modern_green","text_missingUtopia","text_rankingUtopias","sentiment_label","sentiment_score","num_windows","window_0_sentimentLabel","window_1_sentimentLabel","window_2_sentimentLabel","window_3_sentimentLabel","window_4_sentimentLabel","window_5_sentimentLabel","window_6_sentimentLabel","window_7_sentimentLabel","window_8_sentimentLabel","window_9_sentimentLabel","window_10_sentimentLabel","window_11_sentimentLabel","window_12_sentimentLabel","window_13_sentimentLabel","window_14_sentimentLabel","window_15_sentimentLabel","window_16_sentimentLabel","window_17_sentimentLabel","window_18_sentimentLabel","window_19_sentimentLabel","window_20_sentimentLabel","window_21_sentimentLabel","window_22_sentimentLabel","window_23_sentimentLabel","window_24_sentimentLabel","window_25_sentimentLabel","window_26_sentimentLabel","window_27_sentimentLabel","window_28_sentimentLabel","window_29_sentimentLabel","window_30_sentimentLabel","window_31_sentimentLabel","window_32_sentimentLabel","window_33_sentimentLabel","window_34_sentimentLabel","window_35_sentimentLabel","window_36_sentimentLabel","window_37_sentimentLabel","window_38_sentimentLabel","window_39_sentimentLabel","window_40_sentimentLabel","window_41_sentimentLabel","window_42_sentimentLabel","window_43_sentimentLabel","window_44_sentimentLabel","window_45_sentimentLabel","window_46_sentimentLabel","window_47_sentimentLabel","window_48_sentimentLabel","window_49_sentimentLabel","window_50_sentimentLabel","window_51_sentimentLabel","window_52_sentimentLabel","window_53_sentimentLabel","window_54_sentimentLabel","window_55_sentimentLabel","window_56_sentimentLabel","window_57_sentimentLabel","window_58_sentimentLabel","window_59_sentimentLabel","window_60_sentimentLabel","window_61_sentimentLabel","window_62_sentimentLabel","window_63_sentimentLabel","window_64_sentimentLabel","window_65_sentimentLabel","window_66_sentimentLabel","window_67_sentimentLabel","window_68_sentimentLabel","window_69_sentimentLabel","window_70_sentimentLabel","window_71_sentimentLabel","window_72_sentimentLabel","window_73_sentimentLabel","window_74_sentimentLabel","window_75_sentimentLabel","window_76_sentimentLabel","window_77_sentimentLabel","window_78_sentimentLabel","window_79_sentimentLabel","window_80_sentimentLabel","window_81_sentimentLabel","window_82_sentimentLabel","window_83_sentimentLabel","window_84_sentimentLabel","window_85_sentimentLabel","window_86_sentimentLabel","window_87_sentimentLabel","window_88_sentimentLabel","window_89_sentimentLabel","window_90_sentimentLabel","window_91_sentimentLabel","window_92_sentimentLabel","window_93_sentimentLabel","window_94_sentimentLabel","window_95_sentimentLabel"
3,"6a08b810d807f5805aabe02e",1,1,1,"i enjoyed this survey",29,"woman","bachelor","full_time",1,2,3,7,7,7,6,7,7,7,6,6,6,6,7,1,2,1,1,2,1,2,2,3,2,1,5,5,7,6,3,6,7,3,5,5,5,5,2,4,2,4,2,4,2,4,3,4,4,3,9,9,11,3,11,TRUE,1,2,3,4,5,6,7," And to be very honest, I don't think that there was anything missing. I think that there was a good selection of options of different kind of societies and utopias. Yeah, I think they were all really, I think they were all kind of well explained. And I don't think that there could have been any other option. You know, we had the futuristic, we had the sustainable one, the more green focused one. we had the AI driven one, law, moral. I think that those were really kind of describing all of them besides maybe like a, just a all out free for all where there's no rules and there's no governance and everyone does what they want and everyone protects themselves and everyone fends for themselves. I feel like that could be a certain society that's missing. And to be honest, I would hate for that. I would hate that kind of society where there's just no, There's no societal rules. There's no legal rules. There's no consequence. And everybody takes things into their own hands. I think that would be very chaotic. Interesting in theory, but I think that just knowing how humans react when there's no rules and there's no governance and there's no consequences to actions, don't think that would be ideal."," I put modern or green utopia as being my most preferred because I really do just see that being the most ideal and most utopian way to live for me as far as everything is sustainable and it's secure. And I think that's the most important part about it all as far as ranking, because as long as the way of life is secure, I mean, nothing can ever be 100 percent. But to even have the main structure to be just secure would be the best for me. After that, I chose futuristic just because to have more science and innovation is kind of crucial, I would say, in the advancement of human life. It's crucial and it's important, but maybe not the most crucial important. So I put it at the sixth place. number five, I put the moral commonwealth or just having inner morality. I feel like it would be nice to live in a life like that where everybody kind of just knows what to do. And everyone just tries their best to be good people, good business partners, you know, and just be good people to each other, whether that's just in, you know, person to person or business to consumer, you know, I do, I would think that that's a kind of a nice way to live, but unpractical or not. I wouldn't say unpractical. I would say kind of not realistic. I put the rule, the institutional utopia as the, my fourth most prefer the rule of law, because I think that's kind of how we live today where there's just a lot of laws. There's just a lot of rules and there's set, you know, consequences to those rules which can be ideal because you know i think that for every action there needs to be a consequence or reaction especially because everyone doesn't have the same mental processes and there's certain actions that are just not okay and there needs to be consequences in place to deter people from doing that um which i think can happen in the moral Commonwealth, futuristic utopia, and the modern green utopia. So I don't think that that's kind of the most ideal way for me to live or for us to live. And then for my last bottom three places, I chose the primitive utopia, the AI-centered utopia, and then the religious utopia. And I said that because low tech, small scale, I'm a maximalist. I love the idea of having you know not many not a lot of tech and being very kind of small scale in theory it's very nice and calm and peaceful but in in practice it's after being kind of used to the way things are i feel like that would be not ideal um ai centered utopia i think that that's a terrible way to live i think that ai can be useful i think it can be implemented well um in certain systems to help advance life. But I don't think that having an AI-centered utopia or just data-driven governance is good because technology can make mistakes. And I think that human oversight is important. And just to be in a society where it's kind of like just ruled by AI, I don't think that would be good. And then I had my religious utopia or faith-based order last because there's so many religions and everybody interprets religion differently that to just have a society based on religion can get really hectic really fast. And then, you know, next thing you know, we're having like the witch hunt trials again. And I just think that it's important to just keep faith out of like governance, I would say, of people just because everybody believes in such different things.","positive",0.670058473944664,84,"neutral","neutral","positive","positive","positive","neutral","neutral","neutral","positive","neutral","neutral","positive","neutral","neutral","neutral","positive","neutral","positive","positive","neutral","neutral","positive","neutral","negative","neutral","neutral","neutral","neutral","neutral","neutral","neutral","neutral","negative","neutral","neutral","neutral","positive","neutral","neutral","neutral","neutral","positive","neutral","positive","positive","neutral","negative","negative","positive","positive","neutral","neutral","positive","neutral","negative","positive","neutral","neutral","negative","neutral","positive","neutral","neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"67103e4ed56cde03a0f2476b",1,1,1,"",27,"woman","some_college","full_time",1,6,3,4,3,4,4,3,3,5,2,6,5,5,4,3,3,2,2,1,1,2,2,4,2,2,3,2,6,4,3,3,8,2,3,4,5,5,3,3,4,2,4,4,2,3,4,5,4,3,7,9,9,8,9,TRUE,6,7,3,5,4,2,1," The only missing future society I could think of would be one where everybody is working towards the goal of making the planet a better place, working on lowering down pollution, working on making the air quality better, and us all practicing sustainability, and also innovating science and bringing about cures to things that are devastating like cancer."," I chose them how I did because religion and AI-centered utopias and also rule of law just didn't really seem fair. I don't feel like religion benefits everybody. The AI-centered utopia also did not really benefit any humans. And the rule of law really only benefited security guards or people in power. The only ones that seemed okay for human beings would be like a modern green utopia or a futurist one where the humans still matter and we have an input.","neutral",0.612032666802406,13,"neutral","negative","neutral","negative","negative","neutral","neutral","neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"59a07638bfd73c00010ea394",1,1,1,"",26,"man","some_college","full_time",1,1,1,7,7,7,1,1,1,1,1,7,7,7,7,6,6,1,1,1,1,1,1,2,1,1,1,1,9,1,1,1,9,1,2,3,6,6,2,5,1,5,1,5,1,2,2,1,2,5,11,11,11,1,11,TRUE,7,6,5,3,4,1,2," I don't really have any complaints with the choices that were present. I'd say some of them could have been a bit more detailed in what they were trying to provide. Anything I can think of, I think, has already been touched upon, but not in the entirety that I think of. For example, the green utopia. In concept, it's pretty good, but there has to be a bunch of nuance. Okay."," Well, I think science and innovation top all, and that's why I have it as my number one choice. Under that, having sustainability in the form of green energy in conjunction with nature, with bits of modernality, makes that modern green utopia a good secondary choice. um the third one is basically the world we already live in so i went ahead and i selected that one mainly because i compared it to the others and it just ruled above those um the moral commonwealth i didn't really like all too much just because governed by morality uh that that's not going to work really too well because someone can take control of the world basically in that scenario The Primitial Bliss, it was just the better option than the two below that one. AI is really too black and white and is prone to error. So that would just lead to more chaos than order. And I really just don't like religion.","neutral",0.673028916120529,23,"positive","neutral","positive","neutral","positive","neutral","neutral","neutral","negative","negative","negative","neutral","positive","negative","negative","negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"63d7b1a77e23b5460ab88069",1,1,1,"",31,"non_binary","master","full_time",1,5,1,7,1,2,1,1,1,1,1,2,2,2,6,1,2,2,5,1,1,1,1,2,1,1,1,1,9,9,1,1,4,1,3,3,5,2,1,4,2,2,2,4,2,2,6,1,5,2,11,11,8,2,3,TRUE,1,2,6,7,4,3,5," I'm not all that imaginative. So the options given were plentiful. I can't really see anything that's missing. I think for any of it to work, people need to kind of buy in. And I think that's where the legal system comes into play in which people kind of buy in. We kind of see that as of now, only a few individuals commit the crimes, but a large majority abide by it. So there's nothing in particular that I see that I would particularly change on my own."," The reason why I ranked my choices in the order that I did is based on what I've currently experienced, institutional utopia, rule of law. Even though our world is not a utopia, that's kind of the world that we live in now in which we kind of are obligated by legal regulations. So I'd rather focus on something that I'm used to than thinking about hypotheticals. And then, of course, the low tech and small scale, I believe, having small scale communities, we kind of already have those. We have suburbs with like HOA communities for people kind of stake in their own communities, watch out for each other, report things. So it kind of made the next sense. Sustainable and secure. Sustainability is always a great idea. But the fact that it will be secure is what made me focus on that. But number four, inner morality. I think I placed it here just because I don't trust people's morals. We all want to believe we're moral. But from what I'm seeing in our current world, I think deep down we all have different definitions, even though there might be like a universal basic principle to it. Science and innovation, while cool, you can always trust the science that's being spit out, you always have to question it, and I feel like if you make science the norm, then you kind of take everything at face value, and things that contradict it might be hidden or dismissed like we currently see in our current world. data and data-driven governance ai is the new buzzword so um i'm just kind of skeptical we don't know how it the world is going to turn out in the future with how much they're trying to integrate it in every single aspect of our society um and then of course faith-based order we've seen how a face-based world could be and i'd rather not go back to that","neutral",0.692599684000015,40,"neutral","neutral","neutral","neutral","neutral","neutral","neutral","neutral","neutral","neutral","neutral","neutral","positive","positive","neutral","negative","neutral","neutral","neutral","neutral","positive","negative","negative","neutral","negative","neutral","neutral","negative","neutral","neutral","neutral","neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"69c4160ec318cfcd7d4f37a4",1,1,1,"I very much enjoyed my participation in this study. I hope my input has been helpful. Thank you and I would really enjoy more projects like this!",35,"man","some_college","part_time",1,7,4,7,6,6,7,6,3,2,4,6,4,6,5,1,1,1,1,1,4,2,4,4,3,1,2,1,5,2,4,2,4,5,2,3,3,4,2,3,4,3,4,3,3,4,4,4,5,5,11,6,11,6,11,TRUE,7,3,5,6,2,1,4," um while i'm thinking about this i don't think that there's anything in particular that's missing what i think would be most ideal for my personal perspective um and again i mean it's just based on a whim here and what i've what i've read over the last 15 minutes um i think that it would be most ideal to take certain factors probably from like my top three or four choices and i would kind to mix and match and collaborate a few of those together to get an adaptation of the best of all those things I think we should be look for sustainability but I think technology has a place you know I think religion has a place I think that it's good to get down to our roots and be a little bit primitive if we were broken down into you know there's a lot of different factors but yeah I think mix and matching a couple of the best aspects of the top couple groups would We most thank you."," uh yeah so I was trying to think about that in my head as well um while I am excited for the new innovations that science and technology have brought us as I am a pretty big fan of science not only does it interest me but I think it does have a place in making society better um I don't know that I would go to the point of wanting it AI centered um and data driven by the government governance but um so that's number three i think number number one would be the futurist utopia because i do have a lot of support and respect for science and innovation um i think the moral commonwealth i mean i think it seems a little unrealistic because you're always gonna have people who want to do their own thing um and no one's moral levels i i mean it would be interesting to see how that would work but if it could i think that would be great um three would be the data centers because um I think that we can get to a point with AI as long I mean that's take as long as it doesn't kill us is really the thing because that's what it's about um if that's taken out as a factor then yeah I think AI you know centered utopia would be would be great aside from that um modern green utopia followed by primitivist utopia I could live happily in both of those lives. I mean, we would be foregoing some amenities that I think everyone enjoys, but it would bring us back to our roots in nature. Below that is institutional utopia, which is basically like where we're living right now, which isn't awesome, but still better than religious based utopia. I mean, and that would really depend on what religion we're talking about. Are we talking about religion that has been adulterated over the last century or so or you know actual you know religion that can mean a lot of different things so that's my reasoning and why","neutral",0.83940252661705,52,"neutral","positive","positive","positive","positive","neutral","negative","neutral","neutral","neutral","positive","neutral","negative","neutral","negative","neutral","positive","neutral","neutral","negative","negative","neutral","neutral","positive","positive","neutral","positive","neutral","neutral","negative","neutral","neutral","neutral","neutral","neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"69fe9e67a20599144f688b50",1,1,1,"",34,"woman","bachelor","full_time",1,1,1,7,6,6,5,5,1,1,4,5,3,5,4,1,4,1,1,1,1,1,3,1,1,1,6,2,4,1,3,1,4,3,6,6,6,6,6,4,2,4,2,4,2,1,6,1,5,1,11,11,11,3,9,TRUE,7,4,3,5,6,2,1," I really don't think that there was a missing utopia. I think the seven that were presented kind of hit them all. I guess the only additional utopia maybe that should have been included would be one in which technology was rejected, but religion was not accepted in its place. um so primitive but no guiding principle to live by like not really a law or religion or morality that might have been covering the primitive utopia um i'm not entirely sure but basically a rejection of technology but no um corruptible human institution in its place um not really sure what that would look like."," So, I ranked religious utopia last because I have seen the terrible things that religion can do, and on a large scale, that would never be a utopia. For the same reason that I put intermorality and rule of law near the bottom, these involve too much of people that are easily corrupt. particularly in religion, there's always going to be a leader that thinks they know more than anyone else, which is the same thing that happens with the moral commonwealth and the institutional utopia. Someone is always going to screw that up for the people under them, particularly in religion where there is a larger chance of mania occurring. I put AI-centered utopia right in the middle because that seems a little too corruptible and also we don't know enough about AI, but I still thought that was better than the three bottom tiers. Primitivist Utopia was number three, low-tech, small-scale. I think that could go either way, but it seemed less dangerous than the the tiers near the bottom my second and first were futurist utopia and modern green utopia modern green one for that word sustainable sustainable and secure if we are looking at a society that has limited resources that needs to continue on as long as possible sustainability is going to be the key so that is why modern green utopia went in first place with futurist utopia slowly behind it because of its reliance on science and innovation, meaning that if things started to perhaps become less than ideal, the people in the society could innovate and possibly get out of any problems that they have. So yeah, that's why my ranking went the way it did. I'm always going to rank things that aren't as corruptible near the top and the things that I view as extremely corruptible, such as religion or intermorality near the bottom.","negative",0.686547994613647,41,"neutral","negative","negative","neutral","negative","negative","neutral","neutral","neutral","negative","neutral","neutral","negative","neutral","neutral","neutral","neutral","neutral","positive","neutral","negative","positive","neutral","neutral","neutral","negative","neutral","neutral","neutral","neutral","negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"69e91fd1a613772e648e565a",1,1,1,"",25,"woman","hs","full_time",1,9,8,5,5,5,4,5,5,5,3,7,4,7,6,1,4,6,1,1,1,1,1,1,1,1,9,9,1,9,9,9,1,9,5,5,7,5,5,2,2,1,2,4,2,1,5,1,4,3,11,6,5,1,2,TRUE,7,4,6,3,2,5,1," I believe the societies provided covered all that would be expected, but what I share was missing is a society where some futures could be incorporated. Maybe a society that uses the sustainability and technology, or maybe the one that uses the institutional and AI center together. I think the society would provide more values."," I believe that a society that is sustainable and safe will be the best for the society, irrespective of where the resources will be abundant, good sleep will be good, people will be healthy so diseases will be less, that is a role in which people can live up to. I chose the second one as for the moral commonwealth, because I believe people in themselves can find the heart to live with each other harmoniously and govern themselves. Unlike for the institutional where we have to buy trust to institutional and a question of trust a licensure to who governs those institutions the ai the ai one is centuries have a question of privacy the possibility as who controls it so that we can be learned for the science and innovation it will be difficult to have a trust on AI systems and a whole. And for the primitives, primitivist and religious, that's quite difficult because I believe there would be a lot of bias and a lot of indifferences with the other rights.","neutral",0.749985635280609,22,"positive","positive","positive","positive","neutral","neutral","positive","neutral","neutral","neutral","neutral","neutral","neutral","negative","neutral","neutral","negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"673e5fc42cbf961c153d09d3",1,1,1,"",26,"man","bachelor","full_time",1,3,1,6,3,4,4,5,7,5,2,6,6,7,6,1,1,1,2,1,2,4,6,6,1,4,1,1,8,1,5,1,7,1,2,2,3,1,1,4,1,3,2,2,2,6,4,4,3,5,11,11,7,8,11,TRUE,1,6,2,3,4,7,5," It would be maybe a utopia that solves the scarcity that has been shown in every single of these descriptions, ways that we can ration meals until we have innovated and created a stability where food doesn't become an issue. No one goes hungry. Everyone is maybe assigned a place to live, so they have a roof over their head, and we have time for passions and work, which, while maybe mandatory, is essentially your passion, whatever you would like to do. that is my uh ideal utopian society i suppose a civilization where culture is exemplified and differences and distinctions are while emphasized are celebrated and praised that's essentially my perfect utopia"," When I look at the religious-based utopia, it seemed solely reliant on a higher power or a, it was, as it said, a faith-based utopia. I am just not interested in something like that, the restrictions and the ways that it will harm you mentally. And I feel as though it would be a rigid kind of place to live. The society of low tech and small scale also wasn't something that I really, really appealed to me. Um, simply because I find that technology has advanced life in such a way where it is harmful should it ever disappear or should we be breathed without it, or breathed of it. Um, and I just, I feel like without technology, we would be primitive again. The rule of law is also just a very rigid and extremely kind. It's something where it doesn't really have too much community. It feels as though it's essentially a dystopia, one that is very similar to something you might see in science fiction. And it feels very fascist to me. When I look at the Commonwealth of Intermorality, I think this is where we start to get societies that sound good on paper, but may be a little bit difficult to execute. um morally a lot of people might not have the best interest for you so the idea of a community a communal um way to keep everyone accountable on paper it sounds good but who's to say this would actually enact the way that people would think um a green utopia for sustainability sounds great to me as recycling and continuing to relieve the pressure on climate is something that's important to me. In data-driven governance, I think that AI is essentially the future. I think that it will, while it may be used in very peculiar ways and It may need governance, and we might need to put legality around it. The idea of AI being a push for the future is always something that resonates deeply with me. And for the futurist utopia, I think that is essentially just the best one from here, simply because it's how we continuously progress anyway. through science and innovation. It's something that is essentially our society now. So it's almost like going back to the basics in a way.","neutral",0.706080406904221,49,"neutral","neutral","negative","neutral","negative","negative","negative","positive","positive","negative","neutral","negative","negative","neutral","negative","negative","neutral","negative","neutral","neutral","negative","negative","neutral","neutral","negative","neutral","positive","neutral","neutral","positive","neutral","neutral","neutral","positive","neutral","positive","positive","neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"6a04a5a7e230bb73b88bd6e6",1,1,1,"",33,"woman","doctoral","full_time",1,2,7,5,5,7,5,3,2,2,2,5,4,6,6,4,4,4,4,4,3,2,3,3,2,2,7,7,7,6,7,8,8,7,5,6,6,6,5,4,3,4,4,5,4,2,3,2,3,3,9,8,9,9,8,TRUE,6,3,7,4,5,2,1," So I think for me, my future society is the one that comprises everything, it has the rule of law, it has good governance, it has more law, it has the use of AI technology, and also there is the science and technology in it, there is a lot of innovation and sustainability and the future of each citizen is very secure, they have access to most of their needs, with us that way, yeah."," So, I have ranked the society that way, because I like the modern green in Tokyo, and then we have that it's based on sustainable and secure. So I think the second is science and innovation, the futurist, futurist in Tokyo, so the third The third one for me is the AI-centered, because the data-driven governance and technology. Then the fourth one, the rule of law, the AI-institution in Ethiopia. So then the moral commonwealth is one thing, religion is Sikh, then the primitive is the last one. Law-tech, very small thing, yeah, so those are the only answers. Thank you.","positive",0.641585528850555,17,"neutral","neutral","positive","neutral","neutral","neutral","neutral","neutral","neutral","neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"5f68fdce1c675a0baf13e0ff",1,1,1,"",32,"man","some_college","full_time",1,2,1,5,5,5,3,5,4,5,3,3,3,5,4,3,5,2,2,1,1,2,4,4,1,1,3,3,9,5,5,3,8,3,3,3,3,3,3,4,2,4,2,3,2,4,3,4,3,4,11,10,10,8,10,TRUE,1,4,3,5,2,7,6," I feel like all the descriptions were kind of just, like, revolved around, like, the earth and, like, resources and things that humans need, but nothing really discussed, like, um, human, um, oh my god, I forgot the word, rights. Oh yeah, like human rights. I feel like currently we live in a society where a lot of people feel like their rights are being taken away or they don't have rights. So I feel like a society where human rights are prioritized as well so that nobody feels like lesser than is also a necessity."," um i'm not a fan of organized religion so definitely that is the least um preferred of the bunch the more intermorality one sounds like it would be nice on paper but i don't trust a lot of people's morals um so i feel like it wouldn't work um and then in terms of the most preferred i'm a big like science person i trust science i support science i feel like science would make a good society and then similarly the sustainable and secure um modern green utopia i feel like kind of falls in that science world um but just like more green and for the planet which i feel like could be nice the other three i kind of they're all kind of like in a similar range for me so that's why i kind of put them in the middle um yeah","negative",0.618518590927124,23,"negative","negative","positive","negative","negative","neutral","positive","positive","positive","neutral","positive","positive","neutral","neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
